name,lon,lat
太湖一号饭店,119.880279,31.240983
六安客车饭店,119.88809,31.22914
国兴饭店,119.90614,31.01265
鼎甲桥饭店,119.911469,31.120411
小天天饭店,119.911507,30.994841
荣海饭店,119.913681,31.008221
大浦饭店,119.9180968,31.31488
记琴饭店,119.94293,31.09803
杨标荒饭店,120.0914,30.88175
俞家漾饭店,120.11553,30.86394
潘业饭店,120.123192,30.85808
塘甸阿三饭店,120.144867,30.921761
常溪饭店,120.168457,30.883369
稻香楼饭店,120.19236,30.84194
湖边饭店,120.20932,31.446198
桔园饭店,120.21524,31.44838
农家湖鲜饭店,120.23975,31.48375
望江老四饭店,120.250412,30.84889
宝月楼饭店,120.251022,30.9186
御楼饭店,120.257111,30.854771
歙州饭店,120.25779,30.84683
古涵饭店,120.265099,31.12085
金悦国际饭店,120.267899,31.98465
川城饭店,120.2715058,31.4743183
锦湖饭店,120.27454,31.07057
虹丰饭店,120.279472,32.013611
葛埭饭店,120.280998,31.455601
湖滨阁饭店,120.28562,31.06509
蔡记饭店,120.28572,31.06473
宏发饭店,120.286453,32.013
渔家饭店,120.28659,31.06477
苏州三山岛飘香园饭店,120.293373,31.033569
惠仁饭店,120.29541,31.06599
宝钢饭店,120.29585,32.05264
新一城北疆饭店,120.296181,31.924297
北疆饭店,120.298096,31.922409
老闻饭店,120.30253,32.05765
西山日月农家饭店,120.302963,31.108173
南涂饭店,120.30764,31.13189
南徐饭店,120.30766,31.13196
石公山饭店,120.310333,31.131081
金海饭店,120.311852,31.88636
国民饭店,120.31748,31.45557
无锡凯莱大饭店,120.326706,31.504078
无锡市友谊大饭店,120.338394,31.472397
郁香饭店,120.346863,31.329318
扬扬饭店,120.35041,31.4827
桃源饭店,120.35292,31.48238
东山饭店,120.35968,31.07468
农家乐雪海饭店,120.372757,31.28756
金家饭店,120.388542,31.293594
银湖饭店,120.389061,31.220039
太湖饭店,120.39005,30.94927
邓尉面饭店,120.394989,31.284531
永发饭店,120.396187,31.955099
华强饭店,120.40391,31.87941
洞庭饭店,120.404617,31.082809
金湾海悦饭店,120.40615,31.86259
采香饭店,120.407021,31.927071
周庄饭店,120.409606,31.853828
湖滨饭店,120.411438,31.37537
万家灯火饭店,120.412888,31.087971
胖胖饭店,120.413521,30.87331
天天香饭店,120.415749,30.87373
顺兴楼饭店,120.426331,30.87216
南浔沈家人饭店,120.431633,30.872269
红米饭店,120.434372,31.515949
临河饭店,120.434814,30.879899
藏书老街饭店,120.44428,31.27382
八都饭店,120.45037,30.91022
月敏农家饭店,120.462417,31.362777
翠竹园农家饭店,120.46288,31.36667
晓春农家饭店,120.48019,31.2476
金太湖农家饭店,120.482031,31.210345
度假村饭店,120.486839,31.54768
阳山饭店,120.4887,31.37127
汇丰饭店,120.48947,31.74624
天亮饭店,120.49276,30.85104
祥祥饭店,120.494789,30.742042
三友饭店,120.4961,31.48241
宜斌饭店,120.498917,31.282333
万佳饭店,120.50251,31.162963
石家饭店,120.502998,31.2549
三山岛水云天饭店,120.504,31.2624
浒墅关饭店,120.505119,31.379101
宜斌农家土菜饭店,120.50923,31.25604
羡园饭店,120.50952,31.25562
久乐饭店,120.51128,31.88767
闸西饭店,120.5117304,31.99793457
中华园大饭店,120.515472,31.271976
留恋饭店,120.5178375,31.24935913
陆家湾农家乐饭店,120.518712,31.304063
和平饭店,120.5195,31.25489
味府饭店,120.522385,31.261328
陆氏农家饭店,120.5241,31.2094
味佳饭店,120.524757,31.207609
西苑饭店,120.5254669,31.8546505
城外饭店,120.52558,31.87814
农家乐饭店,120.527,31.1942
苏北饭店,120.53036,31.2556
快乐饭店,120.545273,31.30628
小陈饭店,120.5476478,31.28809435
巴蜀饭店,120.547935,31.288208
狮山饭店,120.5491303,31.28855659
天鹅湖饭店,120.549698,31.52602
苏州旺山旺福楼饭店,120.551399,31.212193
胖子饭店,120.5551904,31.77063775
小四川帝国饭店,120.55589,31.303748
明星饭店,120.557991,31.76808
成香饭店,120.55901,31.83269
天富饭店,120.56123,31.30051
永生饭店,120.56365,31.39968
城市饭店,120.563919,31.304939
金龙饭店,120.564102,31.345659
旅游饭店,120.565805,31.296372
水洲饭店,120.56601,31.297701
江南春饭店,120.56661,31.89094
东苑饭店,120.56941,31.85984
塔影饭店,120.57018,31.3104
迎客饭店,120.5702,31.26229
小苏州饭店,120.5719564,31.3233948
三元春饭店,120.5758287,31.30477648
好客来饭店,120.57727,30.81955
皖西饭店,120.57783,31.32497
上岗饭店,120.57859,31.33301
姑苏饭店,120.578796,31.330391
留春饭店,120.58105,31.31366
胜明饭店,120.581169,30.820009
天天饭店,120.58262,31.33149
君悦饭店,120.58318,31.27039
西北饭店,120.583389,31.316231
苏州香雪海饭店,120.58532,31.298885
新堰月饭店,120.58627,30.97726
聚香园饭店,120.58701,31.3219
凝翠园饭店,120.587959,31.31843
虎丘饭店,120.58814,31.32813
山外香饭店,120.5881805,31.31887054
韩伟饭店,120.58872,31.3216
苏州古吴饭店,120.5888209,31.3230491
园外楼饭店,120.5894278,31.3158645
四季如春饭店,120.59011,31.29915
古吴饭店,120.59098,31.3047
方圆饭店,120.591728,31.06262
苏州旅游饭店,120.592201,31.31517
金星饭店,120.593,31.35251
同里湖大饭店,120.593291,31.302427
北桥鹅真荡农家生态饭店,120.594093,31.504351
乌拉如意坊饭店,120.594955,31.296429
苏州华侨饭店,120.597815,31.301872
华侨饭店,120.598846,31.298532
美林阁饭店,120.59922,31.29316
聚友饭店,120.59951,31.2962
小田园饭店,120.600273,31.296289
锦盛源饭店,120.60139,31.33028
娘子饭店,120.60246,31.31068
凤舞家乐福饭店,120.60507,30.79607
凯发饭店,120.608162,31.300421
飞飞饭店,120.609154,31.332041
阁云楼饭店,120.60922,31.30919
秀水楼饭店,120.60944,30.79683
伟伟饭店,120.611092,31.31028
滨江嘉华饭店,120.611267,31.985359
协和饭店,120.612091,31.28978
宁波人海饭店,120.61383,31.41158
疙瘩饭店,120.61554,31.27106
福仙楼饭店,120.61673,31.2789
苏州王天井饭店,120.61704,31.31523
金格利饭店,120.61753,31.26802
同心饭店,120.6177,31.26709
四川饭店,120.61818,31.32078
苏州植园饭店,120.6183725,31.2951432
东林饭店,120.62129,31.31289
拥宾饭店,120.62158,30.79633
蠡口小饭店,120.6219377,31.39260254
明东朝族饭店,120.622437,31.29097
乐乡饭店,120.623,31.30945
东锦饭店,120.62365,31.304041
南林饭店,120.6239261,31.301875
金都饭店,120.62409,31.27131
苏苑饭店,120.6242179,31.2705381
老大坊齐门饭店,120.624962,31.334049
珍珠饭店,120.6257629,31.30991936
天韵饭店,120.62625,31.31013
美味佳饭店,120.62725,31.16363
苏州苏苑饭店,120.62761,31.273576
华龙饭店,120.627777,31.27578
养蚕里面饭店,120.62883,31.291731
阿成家常饭店,120.6297041,31.3034354
螺丝饭店,120.62971,31.2478
财苑饭店,120.62976,31.27436
赵记饭店,120.629868,31.31856
老夏野生饭店,120.630287,31.271669
桂香饭店,120.6306,31.42492
南环饭店,120.631447,31.28059
浙江安吉饭店,120.63172,31.48018
山城饭店,120.63201,31.25685
湖鲜饭店,120.632179,31.25452
昌盛饭店,120.632401,31.25452
毛家饭店,120.632446,31.400738
南园饭店,120.6325378,31.29523087
苏州饭店,120.6334726,31.30148408
竹辉饭店,120.63369,31.2957487
宝辰饭店,120.634,31.29888
苏吴饭店,120.634048,31.27207
好友多饭店,120.63428,31.32694
戗港饭店,120.634819,31.144676
口福饭店,120.63502,31.32406
山湖饭店,120.635536,31.163265
陈师傅炒饭店,120.63632,31.30259
红开饭店,120.63759,31.28503
庙港饭店,120.6383668,31.14907779
东吴饭店,120.63896,31.29999
国香饭店,120.639671,31.158381
苏州旅居姑苏饭店,120.639877,31.29707
吴江松陵饭店,120.640563,31.162536
永新饭店,120.643143,31.969114
老安利饭店,120.64418,31.30142
摘星楼饭店,120.6445,31.33318
六安饭店,120.64846,31.17254
隆琪大饭店,120.648827,31.46648
南京江宁湖滨金陵饭店,120.648888,31.304386
聚丰饭店,120.649101,30.89817
里河面饭店,120.649567,31.29248
青岛饭店,120.6529,30.90537
新盛泽人饭店,120.65844,30.87738
淮安文楼饭店,120.659775,31.282782
凤凰乡村饭店,120.65995,31.7378
珠宝大饭店,120.662752,31.469054
新兴饭店,120.662773,31.452208
华胜饭店,120.66526,31.37933
金麟饭店,120.669968,31.743454
水乡饭店,120.67099,31.08925
聚兴楼饭店,120.67297,31.24882
